num,masses,lengths
1395.0,4.344812,1.812069
1396.0,4.136747,1.599709
1397.0,3.578525,1.223345
1398.0,3.957684,1.273096
1399.0,3.449275,1.612489
1400.0,4.089892,1.663886
1401.0,4.366661,1.917958
1403.0,6.030114,2.660096
1404.0,3.19911,1.259158
1405.0,4.898761,2.236179
1406.0,2.904758,0.991057
1407.0,4.498233,2.312735
1408.0,4.099969,1.975963
1409.0,5.066374,2.325207
1410.0,3.24971,1.18441
1411.0,3.024487,1.223345
1412.0,4.342111,1.838409
1413.0,3.198253,1.259158
1415.0,4.020051,1.700496
1417.0,6.875179,3.156339
1418.0,2.545245,0.991057
1419.0,5.383236,2.427504
1420.0,6.351477,2.953178
1421.0,3.799206,1.505391
1424.0,3.921187,1.576965
1425.0,5.43106,2.37544
1426.0,3.90062,1.599709
1427.0,3.328779,1.399496
1428.0,4.141647,1.599709
